,ID
0,CPCT02010003T
1,CPCT02010022T
2,CPCT02010035T
3,CPCT02010037T
4,CPCT02010043T
5,CPCT02010050T
6,CPCT02010063T
7,CPCT02010110TIII
8,CPCT02010122T
9,CPCT02010123T
10,CPCT02010134T
11,CPCT02010173T
12,CPCT02010214TIII
13,CPCT02010227T
14,CPCT02010233T
15,CPCT02010238T
16,CPCT02010240T
17,CPCT02010246T
18,CPCT02010249T
19,CPCT02010250T
20,CPCT02010252T
21,CPCT02010255T
22,CPCT02010255TII
23,CPCT02010256TII
24,CPCT02010257T
25,CPCT02010260T
26,CPCT02010262T
27,CPCT02010263T
28,CPCT02010266T
29,CPCT02010267TII
30,CPCT02010267TIII
31,CPCT02010269T
32,CPCT02010272T
33,CPCT02010273T
34,CPCT02010276T
35,CPCT02010276TII
36,CPCT02010281T
37,CPCT02010288T
38,CPCT02010288TII
39,CPCT02010289T
40,CPCT02010290T
41,CPCT02010291TII
42,CPCT02010292TII
43,CPCT02010298T
44,CPCT02010299T
45,CPCT02010300T
46,CPCT02010312TII
47,CPCT02010313T
48,CPCT02010320T
49,CPCT02010324T
50,CPCT02010325T
51,CPCT02010326TII
52,CPCT02010329T
53,CPCT02010333TII
54,CPCT02010334T
55,CPCT02010335T
56,CPCT02010336T
57,CPCT02010337T
58,CPCT02010337TII
59,CPCT02010338T
60,CPCT02010340T
61,CPCT02010344TII
62,CPCT02010346T
63,CPCT02010347T
64,CPCT02010347TII
65,CPCT02010349T
66,CPCT02010351T
67,CPCT02010356T
68,CPCT02010359T
69,CPCT02010359TII
70,CPCT02010361T
71,CPCT02010369T
72,CPCT02010370T
73,CPCT02010371T
74,CPCT02010372T
75,CPCT02010373T
76,CPCT02010382TII
77,CPCT02010386T
78,CPCT02010389T
79,CPCT02010392T
80,CPCT02010393T
81,CPCT02010393TII
82,CPCT02010397T
83,CPCT02010398T
84,CPCT02010399T
85,CPCT02010401T
86,CPCT02010403T
87,CPCT02010403TII
88,CPCT02010406TII
89,CPCT02010407T
90,CPCT02010408T
91,CPCT02010408TII
92,CPCT02010409T
93,CPCT02010414T
94,CPCT02010415T
95,CPCT02010419T
96,CPCT02010422T
97,CPCT02010424T
98,CPCT02010427T
99,CPCT02010429T
100,CPCT02010433T
101,CPCT02010434T
102,CPCT02010436T
103,CPCT02010439T
104,CPCT02010440T
105,CPCT02010447T
106,CPCT02010450T
107,CPCT02010450TII
108,CPCT02010451T
109,CPCT02010452T
110,CPCT02010455T
111,CPCT02010458T
112,CPCT02010461T
113,CPCT02010468T
114,CPCT02010469T
115,CPCT02010471T
116,CPCT02010473T
117,CPCT02010474T
118,CPCT02010477T
119,CPCT02010478T
120,CPCT02010478TII
121,CPCT02010481T
122,CPCT02010483T
123,CPCT02010485T
124,CPCT02010486T
125,CPCT02010488T
126,CPCT02010490T
127,CPCT02010493T
128,CPCT02010494T
129,CPCT02010497T
130,CPCT02010500T
131,CPCT02010501T
132,CPCT02010503T
133,CPCT02010503TII
134,CPCT02010504T
135,CPCT02010505T
136,CPCT02010506T
137,CPCT02010507T
138,CPCT02010508T
139,CPCT02010509T
140,CPCT02010512T
141,CPCT02010514T
142,CPCT02010517T
143,CPCT02010518T
144,CPCT02010520T
145,CPCT02010521T
146,CPCT02010523T
147,CPCT02010524T
148,CPCT02010526T
149,CPCT02010528T
150,CPCT02010529T
151,CPCT02010530T
152,CPCT02010531T
153,CPCT02010532T
154,CPCT02010533T
155,CPCT02010534T
156,CPCT02010535T
157,CPCT02010536T
158,CPCT02010537T
159,CPCT02010541T
160,CPCT02010543T
161,CPCT02010545T
162,CPCT02010547T
163,CPCT02010548T
164,CPCT02010549T
165,CPCT02010550T
166,CPCT02010554T
167,CPCT02010555T
168,CPCT02010557T
169,CPCT02010559T
170,CPCT02010565T
171,CPCT02010567T
172,CPCT02010567TII
173,CPCT02010569T
174,CPCT02010572T
175,CPCT02010576T
176,CPCT02010577T
177,CPCT02010579T
178,CPCT02010585T
179,CPCT02010587T
180,CPCT02010589T
181,CPCT02010590T
182,CPCT02010591T
183,CPCT02010593T
184,CPCT02010595T
185,CPCT02010598T
186,CPCT02010599T
187,CPCT02010600T
188,CPCT02010603T
189,CPCT02010604T
190,CPCT02010605T
191,CPCT02010606T
192,CPCT02010607T
